model,f5Level,state,machineT,f5Rmu,x_lat,y_vert,z_long,dY_fromBase,dZ_fromBase,verticalThrustArm,readyDrive_dZ,aftOfRear,aheadOfFront
F5_SPLIT_25F_75A,LOW,SPREAD,0,12.0000,0.00000000,1.556005,-0.577699,-0.000082,-0.245870,0.776005,,false,false
F5_SPLIT_25F_75A,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.526912,-0.573684,-0.000082,-0.245870,0.746912,,false,false
F5_SPLIT_25F_75A,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453728,-1.135008,-0.000082,-0.245870,0.673728,,false,false
F5_SPLIT_25F_75A,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318320,-1.134853,-0.000082,-0.245870,0.538320,,false,false
F5_SPLIT_25F_75A,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318320,-1.134751,-0.000082,-0.245870,0.538320,,false,false
F5_SPLIT_25F_75A,LOW,DRIVE,1,12.0000,0.00000000,1.318320,-1.521266,-0.000082,-0.245870,0.538320,-0.386515,false,false
F5_SPLIT_25F_75A,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496475,-0.698283,-0.000125,-0.377000,0.716475,,false,false
F5_SPLIT_25F_75A,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.469709,-0.694589,-0.000125,-0.377000,0.689709,,false,false
F5_SPLIT_25F_75A,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402379,-1.211007,-0.000125,-0.377000,0.622379,,false,false
F5_SPLIT_25F_75A,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.277804,-1.210865,-0.000125,-0.377000,0.497804,,false,false
F5_SPLIT_25F_75A,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.277804,-1.210771,-0.000125,-0.377000,0.497804,,false,false
F5_SPLIT_25F_75A,NOMINAL,DRIVE,1,20.0000,0.00000000,1.277804,-1.566365,-0.000125,-0.377000,0.497804,-0.355594,false,false
F5_SPLIT_25F_75A,HIGH,SPREAD,0,30.0000,0.00000000,1.434239,-0.824349,-0.000170,-0.514091,0.654239,,false,false
F5_SPLIT_25F_75A,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.409906,-0.820990,-0.000170,-0.514091,0.629906,,false,false
F5_SPLIT_25F_75A,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.348697,-1.290461,-0.000170,-0.514091,0.568697,,false,false
F5_SPLIT_25F_75A,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.235447,-1.290331,-0.000170,-0.514091,0.455447,,false,false
F5_SPLIT_25F_75A,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.235447,-1.290246,-0.000170,-0.514091,0.455447,,false,false
F5_SPLIT_25F_75A,HIGH,DRIVE,1,30.0000,0.00000000,1.235447,-1.613513,-0.000170,-0.514091,0.455447,-0.323267,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,SPREAD,0,12.0000,0.00000000,1.556087,0.287735,0.000000,0.619565,0.776087,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.526994,0.291751,0.000000,0.619565,0.746994,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453809,-0.269573,0.000000,0.619565,0.673809,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318401,-0.269418,0.000000,0.619565,0.538401,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318401,-0.269316,0.000000,0.619565,0.538401,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,LOW,DRIVE,1,12.0000,0.00000000,1.318401,-0.655831,0.000000,0.619565,0.538401,-0.386515,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496600,0.628717,0.000000,0.950000,0.716600,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.469834,0.632411,0.000000,0.950000,0.689834,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402504,0.115993,0.000000,0.950000,0.622504,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.277929,0.116135,0.000000,0.950000,0.497929,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.277929,0.116229,0.000000,0.950000,0.497929,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,NOMINAL,DRIVE,1,20.0000,0.00000000,1.277929,-0.239365,0.000000,0.950000,0.497929,-0.355594,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,SPREAD,0,30.0000,0.00000000,1.434409,0.985197,0.000000,1.295455,0.654409,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.410077,0.988555,0.000000,1.295455,0.630077,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.348868,0.519084,0.000000,1.295455,0.568868,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.235617,0.519214,0.000000,1.295455,0.455617,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.235617,0.519299,0.000000,1.295455,0.455617,,false,false
F5_GEOMETRIC_EXTREME_FORWARD,HIGH,DRIVE,1,30.0000,0.00000000,1.235617,0.196032,0.000000,1.295455,0.455617,-0.323267,false,false
F5_GEOMETRIC_EXTREME_AFT,LOW,SPREAD,0,12.0000,0.00000000,1.556087,-0.951395,0.000000,-0.619565,0.776087,,true,false
F5_GEOMETRIC_EXTREME_AFT,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.526994,-0.947379,0.000000,-0.619565,0.746994,,false,false
F5_GEOMETRIC_EXTREME_AFT,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453809,-1.508704,0.000000,-0.619565,0.673809,,false,false
F5_GEOMETRIC_EXTREME_AFT,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318401,-1.508548,0.000000,-0.619565,0.538401,,false,false
F5_GEOMETRIC_EXTREME_AFT,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318401,-1.508446,0.000000,-0.619565,0.538401,,false,false
F5_GEOMETRIC_EXTREME_AFT,LOW,DRIVE,1,12.0000,0.00000000,1.318401,-1.894961,0.000000,-0.619565,0.538401,-0.386515,false,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496600,-1.271283,0.000000,-0.950000,0.716600,,true,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.469834,-1.267589,0.000000,-0.950000,0.689834,,false,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402504,-1.784007,0.000000,-0.950000,0.622504,,false,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.277929,-1.783865,0.000000,-0.950000,0.497929,,false,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.277929,-1.783771,0.000000,-0.950000,0.497929,,false,false
F5_GEOMETRIC_EXTREME_AFT,NOMINAL,DRIVE,1,20.0000,0.00000000,1.277929,-2.139365,0.000000,-0.950000,0.497929,-0.355594,false,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,SPREAD,0,30.0000,0.00000000,1.434409,-1.605712,0.000000,-1.295455,0.654409,,true,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.410077,-1.602354,0.000000,-1.295455,0.630077,,false,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.348868,-2.071825,0.000000,-1.295455,0.568868,,false,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.235617,-2.071695,0.000000,-1.295455,0.455617,,false,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.235617,-2.071610,0.000000,-1.295455,0.455617,,false,false
F5_GEOMETRIC_EXTREME_AFT,HIGH,DRIVE,1,30.0000,0.00000000,1.235617,-2.394877,0.000000,-1.295455,0.455617,-0.323267,false,false
